currency,city,meal,mcmeal,beer restaurant,milk,rice,potato,water,cigarettes,coffee,ticket,rent,country,latitude,longitude,group,cityproper,overall_rank
€,Dortmund,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 5.5, 24]","['Milk (regular), (1 liter) ', 1.0, 60]","['Rice (white), (1kg) ', 2.81, 21]","['Potato (1kg) ', 2.1, 17]","['Water (1.5 liter bottle) ', 0.84, 47]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.47, 42]","['One-way Ticket (Local Transport) ', 3.3, 17]","['Apartment (3 bedrooms) in City Centre ', 1416.67, 84]",Germany,51.5135872,7.4652981,2,Dortmund,46
€,Dresden,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.5, 21]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.04, 56]","['Rice (white), (1kg) ', 2.67, 34]","['Potato (1kg) ', 1.48, 49]","['Water (1.5 liter bottle) ', 0.78, 53]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.4, 45]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 1295.0, 100]",Germany,51.0504088,13.7372621,2,Dresden,85
€,Dublin,"['Meal, Inexpensive Restaurant ', 20.0, 6]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 6.75, 10]","['Milk (regular), (1 liter) ', 1.31, 35]","['Rice (white), (1kg) ', 1.63, 93]","['Potato (1kg) ', 1.95, 20]","['Water (1.5 liter bottle) ', 1.73, 9]","['Cigarettes 20 Pack (Marlboro) ', 16.62, 4]","['Cappuccino (regular) ', 4.04, 14]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 3524.36, 5]",Ireland,53.3498053,-6.2603097,1,Dublin,11
€,Duisburg Germany,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 4.35, 36]","['Milk (regular), (1 liter) ', 0.99, 61]","['Rice (white), (1kg) ', 2.75, 27]","['Potato (1kg) ', 1.69, 33]","['Water (1.5 liter bottle) ', 0.9, 41]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.38, 47]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 950.0, 142]",Germany,51.4344079,6.7623293,2,Duisburg,102
€,Durham,"['Meal, Inexpensive Restaurant ', 13.56, 21]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.49, 22]","['Domestic Beer (0.5 liter draught) ', 5.43, 25]","['Milk (regular), (1 liter) ', 0.7, 73]","['Rice (white), (1kg) ', 5.35, 1]","['Potato (1kg) ', 3.86, 1]","['Water (1.5 liter bottle) ', 0.9, 41]","['Cigarettes 20 Pack (Marlboro) ', 7.69, 31]","['Cappuccino (regular) ', 4.26, 10]","['One-way Ticket (Local Transport) ', 0.45, 75]","['Apartment (3 bedrooms) in City Centre ', 2326.82, 21]", United Kingdom,54.77525,-1.584852,1,Durham,39
€,Dusseldorf,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.01, 59]","['Rice (white), (1kg) ', 2.75, 27]","['Potato (1kg) ', 1.69, 33]","['Water (1.5 liter bottle) ', 0.9, 41]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.54, 37]","['One-way Ticket (Local Transport) ', 3.1, 25]","['Apartment (3 bedrooms) in City Centre ', 1837.06, 53]",Germany,51.2277411,6.7734556,2,Dusseldorf,44
€,Edinburgh,"['Meal, Inexpensive Restaurant ', 18.53, 10]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.08, 25]","['Domestic Beer (0.5 liter draught) ', 5.93, 18]","['Milk (regular), (1 liter) ', 1.49, 23]","['Rice (white), (1kg) ', 1.72, 90]","['Potato (1kg) ', 1.44, 53]","['Water (1.5 liter bottle) ', 1.33, 19]","['Cigarettes 20 Pack (Marlboro) ', 17.8, 1]","['Cappuccino (regular) ', 4.13, 11]","['One-way Ticket (Local Transport) ', 2.37, 40]","['Apartment (3 bedrooms) in City Centre ', 2629.42, 16]", United Kingdom,55.953252,-3.188267,1,Edinburgh,15
€,Eindhoven,"['Meal, Inexpensive Restaurant ', 16.0, 15]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.12, 48]","['Rice (white), (1kg) ', 2.74, 28]","['Potato (1kg) ', 1.81, 27]","['Water (1.5 liter bottle) ', 0.79, 52]","['Cigarettes 20 Pack (Marlboro) ', 9.0, 25]","['Cappuccino (regular) ', 3.14, 60]","['One-way Ticket (Local Transport) ', 4.0, 5]","['Apartment (3 bedrooms) in City Centre ', 1910.0, 47]", Netherlands,51.4231423,5.4622897,2,Eindhoven,38
€,Enschede,"['Meal, Inexpensive Restaurant ', 13.0, 25]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.5, 8]","['Domestic Beer (0.5 liter draught) ', 5.25, 29]","['Milk (regular), (1 liter) ', 1.15, 47]","['Rice (white), (1kg) ', 2.92, 14]","['Potato (1kg) ', 1.84, 24]","['Water (1.5 liter bottle) ', 0.65, 64]","['Cigarettes 20 Pack (Marlboro) ', 9.0, 25]","['Cappuccino (regular) ', 3.32, 51]","['One-way Ticket (Local Transport) ', 2.5, 37]","['Apartment (3 bedrooms) in City Centre ', 2097.5, 34]", Netherlands,52.2215372,6.8936619,2,Enschede,43
€,Espoo,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 9.0, 3]","['Milk (regular), (1 liter) ', 1.2, 42]","['Rice (white), (1kg) ', 2.88, 17]","['Potato (1kg) ', 1.34, 61]","['Water (1.5 liter bottle) ', 2.08, 4]","['Cigarettes 20 Pack (Marlboro) ', 11.0, 18]","['Cappuccino (regular) ', 4.72, 7]","['One-way Ticket (Local Transport) ', 3.1, 25]","['Apartment (3 bedrooms) in City Centre ', 1748.21, 59]", Finland,60.2054911,24.6559001,1,Espoo,16
€,Essen,"['Meal, Inexpensive Restaurant ', 14.5, 18]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.09, 51]","['Rice (white), (1kg) ', 2.64, 37]","['Potato (1kg) ', 1.61, 39]","['Water (1.5 liter bottle) ', 0.91, 40]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 2.95, 73]","['One-way Ticket (Local Transport) ', 3.15, 24]","['Apartment (3 bedrooms) in City Centre ', 1217.67, 111]",Germany,51.4556432,7.0115552,2,Essen,92
€,Exeter,"['Meal, Inexpensive Restaurant ', 17.8, 12]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.49, 22]","['Domestic Beer (0.5 liter draught) ', 6.23, 15]","['Milk (regular), (1 liter) ', 1.49, 23]","['Rice (white), (1kg) ', 1.44, 100]","['Potato (1kg) ', 0.89, 83]","['Water (1.5 liter bottle) ', 1.32, 20]","['Cigarettes 20 Pack (Marlboro) ', 17.8, 1]","['Cappuccino (regular) ', 3.96, 17]","['One-way Ticket (Local Transport) ', 2.37, 40]","['Apartment (3 bedrooms) in City Centre ', 2254.56, 26]", United Kingdom,50.7260367,-3.5274889,1,Exeter,22
€,Ferrara,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.26, 38]","['Rice (white), (1kg) ', 2.49, 48]","['Potato (1kg) ', 1.5, 47]","['Water (1.5 liter bottle) ', 0.35, 82]","['Cigarettes 20 Pack (Marlboro) ', 6.0, 40]","['Cappuccino (regular) ', 1.68, 110]","['One-way Ticket (Local Transport) ', 1.5, 51]","['Apartment (3 bedrooms) in City Centre ', 1125.0, 120]", Italy,44.8381237,11.619787,2,Ferrara,120
€,Flensburg Germany,"['Meal, Inexpensive Restaurant ', 9.5, 43]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 0.99, 61]","['Rice (white), (1kg) ', 2.72, 30]","['Potato (1kg) ', 1.33, 62]","['Water (1.5 liter bottle) ', 0.79, 52]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.03, 68]","['One-way Ticket (Local Transport) ', 2.7, 33]","['Apartment (3 bedrooms) in City Centre ', 2000.0, 40]", Germany,54.7937431,9.4469964,2,Flensburg,86
€,Florence,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 1.41, 29]","['Rice (white), (1kg) ', 3.23, 8]","['Potato (1kg) ', 1.67, 35]","['Water (1.5 liter bottle) ', 0.62, 66]","['Cigarettes 20 Pack (Marlboro) ', 6.0, 40]","['Cappuccino (regular) ', 1.61, 115]","['One-way Ticket (Local Transport) ', 1.7, 49]","['Apartment (3 bedrooms) in City Centre ', 1933.65, 45]",Italy,43.7695604,11.2558136,2,Florence,82
€,Frankfurt,"['Meal, Inexpensive Restaurant ', 18.0, 11]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.9, 31]","['Milk (regular), (1 liter) ', 1.07, 53]","['Rice (white), (1kg) ', 2.78, 24]","['Potato (1kg) ', 1.45, 52]","['Water (1.5 liter bottle) ', 0.77, 54]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.48, 41]","['One-way Ticket (Local Transport) ', 3.4, 13]","['Apartment (3 bedrooms) in City Centre ', 2213.64, 28]",Germany,50.1109221,8.6821267,2,Frankfurt,31
€,Freiburg,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.75, 33]","['Milk (regular), (1 liter) ', 1.11, 49]","['Rice (white), (1kg) ', 2.75, 27]","['Potato (1kg) ', 1.45, 52]","['Water (1.5 liter bottle) ', 0.95, 37]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.27, 55]","['One-way Ticket (Local Transport) ', 2.61, 34]","['Apartment (3 bedrooms) in City Centre ', 1663.33, 66]", Germany,47.9990077,7.8421043,2,Freiburg,62
€,Galati,"['Meal, Inexpensive Restaurant ', 9.05, 48]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 6.53, 49]","['Domestic Beer (0.5 liter draught) ', 2.01, 65]","['Milk (regular), (1 liter) ', 1.36, 32]","['Rice (white), (1kg) ', 1.61, 95]","['Potato (1kg) ', 0.87, 84]","['Water (1.5 liter bottle) ', 0.69, 61]","['Cigarettes 20 Pack (Marlboro) ', 4.92, 61]","['Cappuccino (regular) ', 2.01, 94]","['One-way Ticket (Local Transport) ', 0.5, 74]","['Apartment (3 bedrooms) in City Centre ', 547.85, 159]",Romania,45.4353208,28.0079945,3,Galati,169
€,Galway,"['Meal, Inexpensive Restaurant ', 16.0, 15]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.75, 19]","['Domestic Beer (0.5 liter draught) ', 5.5, 24]","['Milk (regular), (1 liter) ', 1.37, 31]","['Rice (white), (1kg) ', 2.06, 71]","['Potato (1kg) ', 1.18, 70]","['Water (1.5 liter bottle) ', 1.46, 14]","['Cigarettes 20 Pack (Marlboro) ', 16.0, 7]","['Cappuccino (regular) ', 3.64, 31]","['One-way Ticket (Local Transport) ', 1.9, 46]","['Apartment (3 bedrooms) in City Centre ', 2655.56, 13]", Ireland,53.274001,-9.0512662,1,Galway,25
€,Gdansk,"['Meal, Inexpensive Restaurant ', 9.36, 45]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.02, 45]","['Domestic Beer (0.5 liter draught) ', 3.51, 47]","['Milk (regular), (1 liter) ', 0.88, 72]","['Rice (white), (1kg) ', 1.28, 109]","['Potato (1kg) ', 0.82, 89]","['Water (1.5 liter bottle) ', 0.56, 72]","['Cigarettes 20 Pack (Marlboro) ', 4.33, 69]","['Cappuccino (regular) ', 3.13, 61]","['One-way Ticket (Local Transport) ', 1.12, 56]","['Apartment (3 bedrooms) in City Centre ', 1159.99, 118]",Poland,54.3520252,18.6466384,3,Gdansk,148
€,Geneva,"['Meal, Inexpensive Restaurant ', 27.05, 1]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 15.91, 3]","['Domestic Beer (0.5 liter draught) ', 8.49, 4]","['Milk (regular), (1 liter) ', 1.81, 7]","['Rice (white), (1kg) ', 4.11, 3]","['Potato (1kg) ', 2.31, 7]","['Water (1.5 liter bottle) ', 0.97, 36]","['Cigarettes 20 Pack (Marlboro) ', 9.55, 23]","['Cappuccino (regular) ', 5.12, 4]","['One-way Ticket (Local Transport) ', 3.18, 22]","['Apartment (3 bedrooms) in City Centre ', 4238.71, 3]", Switzerland,46.2043907,6.1431577,1,Geneva,4
€,Genoa,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.61, 13]","['Rice (white), (1kg) ', 2.92, 14]","['Potato (1kg) ', 1.46, 51]","['Water (1.5 liter bottle) ', 0.56, 72]","['Cigarettes 20 Pack (Marlboro) ', 6.0, 40]","['Cappuccino (regular) ', 1.73, 109]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 1220.0, 110]",Italy,44.4056499,8.946256,2,Genoa,107
€,Gent,"['Meal, Inexpensive Restaurant ', 20.0, 6]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.88, 18]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.1, 50]","['Rice (white), (1kg) ', 2.42, 51]","['Potato (1kg) ', 1.58, 41]","['Water (1.5 liter bottle) ', 0.79, 52]","['Cigarettes 20 Pack (Marlboro) ', 8.65, 26]","['Cappuccino (regular) ', 3.48, 41]","['One-way Ticket (Local Transport) ', 2.5, 37]","['Apartment (3 bedrooms) in City Centre ', 1272.22, 104]", Belgium,51.0500182,3.7303351,2,Gent,73
€,Glasgow,"['Meal, Inexpensive Restaurant ', 17.8, 12]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.31, 33]","['Domestic Beer (0.5 liter draught) ', 5.64, 21]","['Milk (regular), (1 liter) ', 1.47, 25]","['Rice (white), (1kg) ', 2.12, 69]","['Potato (1kg) ', 1.27, 64]","['Water (1.5 liter bottle) ', 1.01, 33]","['Cigarettes 20 Pack (Marlboro) ', 17.73, 2]","['Cappuccino (regular) ', 4.02, 15]","['One-way Ticket (Local Transport) ', 3.35, 14]","['Apartment (3 bedrooms) in City Centre ', 2204.72, 30]", United Kingdom,55.864237,-4.251806,1,Glasgow,18
€,Gothenburg,"['Meal, Inexpensive Restaurant ', 11.44, 33]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.58, 31]","['Domestic Beer (0.5 liter draught) ', 6.16, 16]","['Milk (regular), (1 liter) ', 1.46, 26]","['Rice (white), (1kg) ', 2.95, 13]","['Potato (1kg) ', 1.35, 60]","['Water (1.5 liter bottle) ', 1.28, 22]","['Cigarettes 20 Pack (Marlboro) ', 6.42, 35]","['Cappuccino (regular) ', 3.88, 21]","['One-way Ticket (Local Transport) ', 3.17, 23]","['Apartment (3 bedrooms) in City Centre ', 1548.26, 72]",Sweden,57.70887,11.97456,1,Gothenburg,48
€,Gottingen Germany,"['Meal, Inexpensive Restaurant ', 12.5, 28]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.25, 23]","['Domestic Beer (0.5 liter draught) ', 3.7, 45]","['Milk (regular), (1 liter) ', 1.02, 58]","['Rice (white), (1kg) ', 2.77, 25]","['Potato (1kg) ', 1.4, 56]","['Water (1.5 liter bottle) ', 1.1, 29]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.05, 66]","['One-way Ticket (Local Transport) ', 2.4, 39]","['Apartment (3 bedrooms) in City Centre ', 1500.0, 75]", Germany,51.5412804,9.9158035,2,Gottingen,90
€,Granada,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 3.25, 50]","['Milk (regular), (1 liter) ', 0.98, 62]","['Rice (white), (1kg) ', 1.25, 111]","['Potato (1kg) ', 1.82, 26]","['Water (1.5 liter bottle) ', 0.91, 40]","['Cigarettes 20 Pack (Marlboro) ', 5.0, 60]","['Cappuccino (regular) ', 1.98, 95]","['One-way Ticket (Local Transport) ', 1.4, 53]","['Apartment (3 bedrooms) in City Centre ', 1000.0, 136]", Spain,37.1774605,-3.5984368,2,Granada,139
€,Graz,"['Meal, Inexpensive Restaurant ', 14.0, 20]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.44, 28]","['Rice (white), (1kg) ', 2.48, 49]","['Potato (1kg) ', 1.97, 19]","['Water (1.5 liter bottle) ', 1.04, 31]","['Cigarettes 20 Pack (Marlboro) ', 6.4, 36]","['Cappuccino (regular) ', 3.59, 35]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 1366.15, 89]", Austria,47.070714,15.439504,2,Graz,61
€,Grenoble,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 1.18, 44]","['Rice (white), (1kg) ', 2.35, 53]","['Potato (1kg) ', 2.27, 11]","['Water (1.5 liter bottle) ', 1.02, 32]","['Cigarettes 20 Pack (Marlboro) ', 12.0, 16]","['Cappuccino (regular) ', 2.97, 71]","['One-way Ticket (Local Transport) ', 1.9, 46]","['Apartment (3 bedrooms) in City Centre ', 1260.0, 107]", France,45.188529,5.724524,2,Grenoble,78
€,Groningen,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.5, 8]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.09, 51]","['Rice (white), (1kg) ', 2.91, 15]","['Potato (1kg) ', 1.85, 23]","['Water (1.5 liter bottle) ', 0.62, 66]","['Cigarettes 20 Pack (Marlboro) ', 8.5, 27]","['Cappuccino (regular) ', 3.09, 63]","['One-way Ticket (Local Transport) ', 2.5, 37]","['Apartment (3 bedrooms) in City Centre ', 1437.5, 81]", Netherlands,53.2193835,6.5665018,2,Groningen,67
€,Hamburg,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.08, 52]","['Rice (white), (1kg) ', 2.78, 24]","['Potato (1kg) ', 1.64, 37]","['Water (1.5 liter bottle) ', 0.9, 41]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.93, 19]","['One-way Ticket (Local Transport) ', 3.4, 13]","['Apartment (3 bedrooms) in City Centre ', 1950.0, 43]",Germany,53.5488282,9.9871703,2,Hamburg,28
€,Hanover,"['Meal, Inexpensive Restaurant ', 13.0, 25]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.9, 17]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.03, 57]","['Rice (white), (1kg) ', 2.67, 34]","['Potato (1kg) ', 1.42, 55]","['Water (1.5 liter bottle) ', 0.81, 50]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.28, 54]","['One-way Ticket (Local Transport) ', 3.2, 21]","['Apartment (3 bedrooms) in City Centre ', 1476.67, 79]",Germany,52.3758916,9.7320104,2,Hanover,69
€,Heidelberg,"['Meal, Inexpensive Restaurant ', 13.5, 22]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.0, 60]","['Rice (white), (1kg) ', 2.76, 26]","['Potato (1kg) ', 1.52, 45]","['Water (1.5 liter bottle) ', 0.89, 42]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.57, 36]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 1940.0, 44]", Germany,49.3987524,8.6724335,2,Heidelberg,45
€,Helsinki,"['Meal, Inexpensive Restaurant ', 16.0, 15]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.9, 11]","['Domestic Beer (0.5 liter draught) ', 8.0, 6]","['Milk (regular), (1 liter) ', 1.29, 36]","['Rice (white), (1kg) ', 2.75, 27]","['Potato (1kg) ', 1.2, 68]","['Water (1.5 liter bottle) ', 1.86, 7]","['Cigarettes 20 Pack (Marlboro) ', 10.5, 20]","['Cappuccino (regular) ', 4.5, 8]","['One-way Ticket (Local Transport) ', 2.95, 28]","['Apartment (3 bedrooms) in City Centre ', 1774.31, 58]",Finland,60.1698557,24.938379,1,Helsinki,20
€,Iasi,"['Meal, Inexpensive Restaurant ', 8.04, 52]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 6.03, 51]","['Domestic Beer (0.5 liter draught) ', 2.01, 65]","['Milk (regular), (1 liter) ', 1.33, 33]","['Rice (white), (1kg) ', 1.51, 97]","['Potato (1kg) ', 0.83, 88]","['Water (1.5 liter bottle) ', 0.69, 61]","['Cigarettes 20 Pack (Marlboro) ', 5.18, 56]","['Cappuccino (regular) ', 2.21, 89]","['One-way Ticket (Local Transport) ', 0.7, 68]","['Apartment (3 bedrooms) in City Centre ', 602.7, 158]",Romania,47.1584549,27.6014418,3,Iasi,168
